 Название вакансии; , URL; , Название Компании; , Описание; 
Middle Front-end Developer ; ,https://krasnodar.hh.ru/vacancy/35742043?query=Python ; , Akvelon ; ,Разработка компонентов интерфейса на ReactJS+Redux. Проведение пользовательских экспериментов и А/Б тестирований. Реализация нового функционала и баг-фиксинг.  ; 
;;;;
Разработчик Python backend ; ,https://krasnodar.hh.ru/vacancy/33944337?query=Python ; , Офисный Мир КМ ; ,Задачи: Разработка микросервисов и API на Python. Знаком с Django Framework. Есть опыть работы с брокером сообщений RabbitMQ.  ; 
;;;;
Программист Python ; ,https://krasnodar.hh.ru/vacancy/34564912?query=Python ; , Zebrains ; ,Умние проектирования микросерверной организации приложения. Самостоятельный поиск решений. Ответственно относиться к чистоте написанного кода. ; 
;;;;
Разработчик Python ; ,https://krasnodar.hh.ru/vacancy/35410071?query=Python ; ,ООО Ростелеком Информационные Технологии ; ,Сайт RT.RU – основной сайт Ростелекома для физических и юридических лиц. Система SSO – система единого входа в личные кабинеты услуг для... ; 
;;;;
Senior Front-end Developer ; ,https://krasnodar.hh.ru/vacancy/35741892?query=Python ; , Akvelon ; ,Разработка компонентов интерфейса на ReactJS+Redux. Проведение пользовательских экспериментов и А/Б тестирований. Реализация нового функционала и баг-фиксинг.  ; 
;;;;
Data Engineer ; ,https://krasnodar.hh.ru/vacancy/34269688?query=Python ; , Plarium ;" ,""Проектирование и разработка распределенных систем сбора и обработки данных. Анализ производительности, масштабирование существующих систем в соответствии с возрастающей нагрузкой.  ";" """
;;;;
Senior Python разработчик (Django) ; ,https://krasnodar.hh.ru/vacancy/33305447?query=Python ; ,ООО МедРейтинг ;" ,""Django-тесты (unit, view). ";" """
;;;;
Fullstack-разработчик (PHP / Node.js / Python) ; ,https://krasnodar.hh.ru/vacancy/34266667?query=Python ; ,ООО ЦЦЭТ ; ,Разработка веб-приложений и сайтов различной степени сложности. Разработка веб-сервисов и API. Проектирование структур баз данных. Разработка функционала фронтенда... ; 
;;;;
Data Science specialist ; ,https://krasnodar.hh.ru/vacancy/35563608?query=Python ; ,ООО Нейрофреш ;" ,""Анализ данных, собираемых для машинного обучения. Апробация различных вариаций баз данных на различных моделях машинного обучения. Определение требований к наборам... ";" """
;;;;
"Разработчик приложений, программист ; ,https://krasnodar.hh.ru/vacancy/35858265?query=Python "; , Мастер Микс ; ,написание моб.приложения и интеграция его с внешними базами данных. - управление из моб.приложения внешними устройствами через api. - создание нативных приложений на... ; ;
;;;;
Fullstack-разработчик (Node.js) ; ,https://krasnodar.hh.ru/vacancy/34074634?query=Python ; ,ООО ЦЦЭТ ; ,Разработка веб-приложений и сайтов различной степени сложности. Разработка веб-сервисов и API. Проектирование структур баз данных. Разработка функционала фронтенда... ; 
;;;;
Специалист по сопровождению информационных систем ; ,https://krasnodar.hh.ru/vacancy/35836128?query=Python ; ,ООО IT2G ;" ,""Изучение бизнес-процессов и документации на ИС. Выявление и локализация дефектов в работе ИС. Эксплуатация ИС, проведение регламентных работ.  ";" """
;;;;
Game Analyst ; ,https://krasnodar.hh.ru/vacancy/35728373?query=Python ; , Plarium ;" ,""Мониторинг активности игроков, их поведения в игре, создание аналитической картины продукта. Выявление областей, дающих недостаточный результат, взаимодействие с командой разработчиков... ";" """
;;;;
Инженер-программист/ ASIC verification engineer ; ,https://krasnodar.hh.ru/vacancy/35824544?query=Python ; , Waves Audio ; ,разработка программных моделей и тестовых сценариев для верификации интегральных схем. ; 
;;;;
Младший научный сотрудник в г.Сочи ; ,https://krasnodar.hh.ru/vacancy/35847234?query=Python ; , Образовательный Фонд «Талант и успех» ;" ,""Участие в сборе данных (в том числе лонгитюдных). Предобработка и анализ данных (тесты, опросники, электроэнцефалографические данные и данные движений глаз).  ";" """
;;;;
DevOps engineer ; ,https://krasnodar.hh.ru/vacancy/35321867?query=Python ; ,ООО ClearScale ;" ,""ClearScale LLC (штаб-квартира: Сан-Франциско, Калифорния, США) - AWS Premier Consulting Partner, уже более 10 лет предлагает полный спектр профессиональных... ";" """
;;;;
DevOps специалист ; ,https://krasnodar.hh.ru/vacancy/35565639?query=Python ; , FinFort ;" ,""FreeSwitch. Ведение рабочей документации. - Интеграция web-приложений и call-центра компании . - Инсталляция, сопровождение и развитие VoIP-инфраструктуры компании (Asterisk, FreeSWITCH). ";" """
;;;;
"Senior Python Developer, Financial Software Solutions ; ,https://krasnodar.hh.ru/vacancy/35495315?query=Python "; , DataArt ;" ,""О работе. - Изучение и практика английского: курсы, общение с коллегами и клиентами из разных стран. - Поддержка докладчиков, выступающих на конференциях... ";" """;
;;;;
"Full Stack Developer / PHP Программист (Middle, Senior) ; ,https://krasnodar.hh.ru/vacancy/35836710?query=Python "; ,ООО Эфир ;" ,""Mysql, написание SQL запросов, проектирование реляционных БД. Готов вести проект с нуля. ";" """;
;;;;
Руководитель разработки / Teamlead ; ,https://krasnodar.hh.ru/vacancy/35159347?query=Python ; ,ООО 1С-Старт ;" ,""Один из мейнстримовых языков для web-разработки (Java, Python, C#, Ruby, PHP, Node.js). Современный фреймворк с полноценным IoC.  ";" """
;;;;
Fullstack Python Software Developer ; ,https://krasnodar.hh.ru/vacancy/35281155?query=Python ; , Sperasoft ;" ,""Design, author, maintain and refactor internal sites that meet all design, technical and schedule requirements. Work closely with QA and... ";" """
;;;;
Администратор сервера приложений ; ,https://krasnodar.hh.ru/vacancy/35832183?query=Python ; ,ПАО Ростелеком ; ,Поддержка систем мониторинга. Конфигурация серверного ПО. Поддержка внутренних пользователей системы (поддержка работоспособности системы по обращениям). Обновления поддерживаемых систем. ; 
;;;;
Инженер технической поддержки / DevOps инженер ; ,https://krasnodar.hh.ru/vacancy/35571486?query=Python ; ,ООО Медиа-тел ;" ,""Исследование и решение проблем, возникающих в процессе поддержки высоконагруженных, отказоустойчивых телекоммуникационных решений с высокой доступностью. Написание релизов для деплоя ПО.  ";" """
;;;;
DevOps Engineer (DevOps инженер) Москва ; ,https://krasnodar.hh.ru/vacancy/35805172?query=Python ; , DriverPack Solution ; ,Нужно помочь разработчикам настроить цикл CI/CD для новых проектов. Тут придётся потрудиться: подумать над конфигурацией linux-серверов и сети... ; 
;;;;
"Senior Python (Team Lead) Developer, Global Recorded Music Company ; ,https://krasnodar.hh.ru/vacancy/35495274?query=Python "; , DataArt ;" ,""О работе. Планируется расширение команды и рост проектов компании. На очереди разработка инструментов процессинга новых исполнителей и треков, управление лицензиями... ";" """;
;;;;
Прикладной администратор (Единой Интеграционной Платформы) ; ,https://krasnodar.hh.ru/vacancy/34751402?query=Python ; ,ПАО Ростелеком ;" ,""Прием и обработка инцидентов на 2-ой линии технической поддержки, первичная диагностика инцидентов. Консультирование пользователей по вопросам функционирования интеграционных решений.  ";" """
;;;;
DevOps Engineer (IoT Platform ) ; ,https://krasnodar.hh.ru/vacancy/35132838?query=Python ; , DataArt ;" ,""Увеличение времени безотказной работы и доступности системы, обеспечение функционирования и оптимальной производительности по SLA. Организация сквозного мониторинга и оповещений по... ";" """
;;;;
Программист MQL ; ,https://krasnodar.hh.ru/vacancy/35792688?query=Python ; ,ООО Инста ;" ,""Работа с индикаторами графических фигур (Pattern Graphix). Интеграция скриптов с внутренними и внешними системами на C#, C++, Python, PHP. ";" """
;;;;
DevOps администратор ; ,https://krasnodar.hh.ru/vacancy/32855588?query=Python ; , LORUS SCM ;" ,""Конфигурация, настройка и Поддержка инфраструктуры в облачных сервисах (Яндекс, Mail.ru). Мониторинг состояния серверов ИТ систем и реагирование на инциденты.  ";" """
;;;;
Ведущий системный администратор ; ,https://krasnodar.hh.ru/vacancy/35588451?query=Python ; ,ООО ТЭКАР ; ,Автоматизация управления инфраструктурой в соответствии с подходом «инфраструктура как код». Администрирование серверов на Windows и Linux посредством Ansible.  ; 
;;;;
"Backend-разработчик (PHP, Node.js, Go, Python) ; ,https://krasnodar.hh.ru/vacancy/35756276?query=Python "; , kt.team ;" ,""Разрабатывать высоконагруженные ecommerce, B2B проекты. Разрабатывать REST и GraphQL API на Magento и Akeneo, Bitrix для сервисов и... ";" """;
;;;;
Инженер технической поддержки ; ,https://krasnodar.hh.ru/vacancy/35671831?query=Python ; , FinFort ; ,...разработчиками по пользовательским проблемам. - Помощь в воспроизведении пользовательских проблем для дальнейшей правки. - Поддержка типовых скриптов импорта / экспорта данных на Python. ; 
;;;;
Embedded Software Developer ; ,https://krasnodar.hh.ru/vacancy/35216624?query=Python ; , Калашников ; ,Разработка новых и поддержка существующих проектов (STM32). Разработка низкоуровневых протоколов синхронизации и обмена. Разработка проектов с минимальным временем реакции.  ; 
;;;;
Lead QA-engineer (Старший тестировщик ПО) ; ,https://krasnodar.hh.ru/vacancy/35032265?query=Python ; ,ООО МедРейтинг ; ,Тестирование пользовательских web-интерфейсов и серверной логики. Выбор инструментария и формализация процесса тестирования. Поддержка тестовой документации. Разработка тест-планов и... ; 
;;;;
Старший инженер отдела технических расчетов и поддержки баз данных ; ,https://krasnodar.hh.ru/vacancy/34545008?query=Python ; ,ПАО «МТС»  ;" ,""Подготовка данных для планирования сети радиодоступа. Расчет действующего и планируемого покрытия сети радиодоступа, статистических данных площади покрытия территории.  ";" """
;;;;
Старший специалист развития и поддержки систем управления доходами ; ,https://krasnodar.hh.ru/vacancy/35689355?query=Python ; ,ПАО «МТС»  ; ,Анализ обращений операторов связи по вопросам прохождения трафика. Взаимодействие со смежными подразделениями в рамках устранения проблем. Анализ маршрутов прохождения трафика.  ; 
;;;;
Разработчик баз данных ORACLE ; ,https://krasnodar.hh.ru/vacancy/35509812?query=Python ; ,ПАО Ростелеком ;" ,""Анализ требований внутренних заказчиков. Проектирование и разработка баз данных. Разработка программного обеспечения, отчетности. ";" """
;;;;
Инженер IP/MPLS ; ,https://krasnodar.hh.ru/vacancy/35781452?query=Python ; ,ООО РТК-Сервис ;" ,""Разработка технических решений, конфигураций оборудования и систем. Проведение приёмо-сдаточных испытаний. Тестирование оборудования и решений. Проведение пусконаладочных работ на технологически... ";" """
;;;;
"Senior Python (Team Lead) Developer, Global Recorded Music Company ; ,https://krasnodar.hh.ru/vacancy/35142587?query=Python "; , DataArt ;" ,""Планируется расширение команды и рост проектов компании. На очереди разработка инструментов процессинга новых исполнителей и треков, управление лицензиями и правами... ";" """;
;;;;
Системный администратор Linux ; ,https://krasnodar.hh.ru/vacancy/34991584?query=Python ; ,ООО МедРейтинг ;" ,""Поддержка и консультирование сотрудников при работе с офисной техникой (IP-телефоны, МФУ, интернет, эл.почтой, антивирусным ПО). Подготовка и настройка рабочих... ";" """
;;;;
Backend-разработчик ; ,https://krasnodar.hh.ru/vacancy/35242110?query=Python ; ,ООО ЛАЙТ МЭП ; ,Разработка backend’а высоконагруженных проектов (более 500 тыс. запросов на сервер в минуту). Оптимизация и расширение функционала имеющегося кода. ; 
;;;;
Web-разработчик ; ,https://krasnodar.hh.ru/vacancy/35750623?query=Python ; , Далее ; ,Разрабатывать backend/frontend крупных проектов. ; 
;;;;
